"","Deal.Size","Sector","yield16","yield15","adj.f"
"1","$1M to <$5M","US COMM",0.147812000520838,0.144795546000839,1.02083250903299
"2","$1M to <$5M","US DIST",0.136415112474159,0.144795546000839,0.942122297555811
"3","$1M to <$5M","US FSS",0.132504526218596,0.144795546000839,0.915114655652657
"4","$1M to <$5M","US IND",0.142108623604267,0.144795546000839,0.981443335304276
"5","$1M to <$5M","US PUB",0.142791901124582,0.144795546000839,0.986162247861924
"6","$5M to <$10M","US COMM",0.172749928169585,0.0936922992994798,1.84380071213115
"7","$5M to <$10M","US DIST",0.134032373196155,0.0936922992994798,1.43055911956789
"8","$5M to <$10M","US FSS",0.101660195558466,0.0936922992994798,1.08504323534122
"9","$5M to <$10M","US IND",0.0936034091812951,0.0936922992994798,0.999051254811235
"10","$5M to <$10M","US PUB",0.106768036009962,0.0936922992994798,1.13956042074159
"11","<$1M","US COMM",0.217782772615603,0.252435057030725,0.862727923677791
"12","<$1M","US DIST",0.279968522934208,0.252435057030725,1.10907148249275
"13","<$1M","US FSS",0.263048979216339,0.252435057030725,1.04204614965314
"14","<$1M","US IND",0.229057351852688,0.252435057030725,0.907391210028362
"15","<$1M","US PUB",0.220332556250702,0.252435057030725,0.872828674599995
"16",">$10M","US COMM",0.146567924759613,0.18792605413722,0.779923387592612
"17",">$10M","US DIST",0.0884033884214938,0.18792605413722,0.47041581768616
"18",">$10M","US FSS",0.128933795613699,0.18792605413722,0.686087920089859
"19",">$10M","US IND",0.0794707968339796,0.18792605413722,0.422883336740268
"20",">$10M","US PUB",0.0914242326486729,0.18792605413722,0.486490460667667
