"","create.m.yr","na.monthly.tcv"
"1",2014-01-01,5039601450
"2",2014-02-01,4930442183
"3",2014-03-01,6555297356
"4",2014-04-01,3883725396
"5",2014-05-01,3940572395
"6",2014-06-01,3311320624
"7",2014-07-01,3389211652
"8",2014-08-01,3137552139
"9",2014-09-01,4616355257
"10",2014-10-01,3742997394
"11",2014-11-01,2304807819
"12",2014-12-01,3690291000
"13",2015-01-01,3223250358
"14",2015-02-01,5913414732
"15",2015-03-01,6260174256
"16",2015-04-01,3185849757
"17",2015-05-01,3175172281
"18",2015-06-01,4151780845
"19",2015-07-01,3268065449
"20",2015-08-01,3336760005
"21",2015-09-01,4424197108
"22",2015-10-01,3006494420
"23",2015-11-01,3130939238
"24",2015-12-01,3056445357
"25",2016-01-01,2830321811
"26",2016-02-01,4594247384
"27",2016-03-01,4169936673
"28",2016-04-01,3867917496
"29",2016-05-01,4180437398
"30",2016-06-01,3017279826
"31",2016-07-01,3120302088
"32",2016-08-01,3824113080
"33",2016-09-01,4936772030
